Gender,Major,Program,GPA
Male,Btech,CSE,8.28
Male,MS,ECE,9.6
Female,Btech,ECE,7.04
Male,MS,CHD,8.03
Male,Btech,CSE,5.54
Female,Btech,ECE,8.27
Male,Btech,ECE,6.83
Male,Btech,CND,7.62
Male,MS,CSE,7.46
Male,Btech,CSE,6.14
Male,Btech,ECE,6.09
Male,Btech,CSE,6.72
Male,Btech,CSE,6.0
Female,PHD,CND,9.58
Female,MS,CHD,8.27
Female,Btech,ECE,7.24
Male,Btech,CSE,7.93
Male,Btech,CSE,7.35
Female,Btech,ECE,5.67
Female,Btech,CHD,6.58
Female,Btech,CSE,5.78
Male,Btech,CHD,6.65
Male,MS,ECE,8.7
Male,Btech,CSE,9.25
Female,Btech,ECE,7.21
Other,MS,CHD,7.41
Male,Btech,ECE,4.89
Male,Btech,CSE,6.39
Male,MS,CND,9.4
Female,Btech,CSE,6.36
Male,Btech,ECE,7.41
Male,Btech,CSE,8.3
Male,Btech,CND,6.65
Male,Btech,CSE,5.91
Male,Btech,ECE,7.36
Male,MS,CND,7.65
Female,Btech,ECE,8.1
Male,Btech,ECE,6.77
Female,Btech,CSE,8.02
Female,PHD,CSE,8.46
Male,Btech,CSE,6.44
Female,Btech,CSE,6.97
Female,MS,ECE,7.55
Male,MS,CHD,8.27
Male,MS,CHD,7.0
Male,PHD,CSE,7.98
Female,Btech,ECE,8.2
Female,MS,CHD,8.27
Male,PHD,CSE,7.47
Female,MS,CHD,7.21
Male,Btech,CND,7.8
Male,Btech,CSE,7.97
Female,Btech,CSE,5.41
Male,Btech,CHD,6.29
Male,PHD,ECE,9.62
Female,Btech,CSE,6.21
Male,MS,CSE,7.15
Female,PHD,CND,9.05
Male,Btech,ECE,5.99
Male,Btech,ECE,6.86
Female,Btech,ECE,6.37
Female,Btech,CSE,6.24
Male,Btech,CSE,6.82
Male,MS,CSE,8.06
Male,PHD,CND,8.13
Male,Btech,CSE,8.4
Male,MS,ECE,9.47
Male,Btech,CHD,7.11
Female,Btech,ECE,5.57
Male,MS,ECE,9.32
Male,Btech,CSE,7.5
Male,Btech,CND,8.66
Male,Btech,ECE,6.15
Male,Btech,CSE,5.89
Female,Btech,CSE,7.99
Male,MS,CND,7.51
Female,Btech,CSE,7.42
Female,Btech,CSE,6.09
Male,Btech,CSE,7.75
Female,MS,CND,8.93
Male,Btech,ECE,7.26
Male,Btech,CND,7.93
Male,Btech,CSE,8.2
Female,Btech,CSE,8.44
Female,Btech,CSE,7.78
Male,Btech,ECE,9.21
Female,Btech,CSE,7.43
Male,Btech,CSE,6.86
Male,Btech,CHD,7.73
Male,Btech,ECE,6.39
Male,Btech,CHD,7.52
Female,Btech,CSE,7.11
Female,Btech,CSE,6.03
Female,Btech,ECE,8.1
Other,PHD,CND,9.34
Female,Btech,CHD,4.9
Male,Btech,CSE,8.64
Male,MS,ECE,7.94
Male,Btech,CSE,7.19
Male,Btech,CHD,7.37
Male,Btech,ECE,7.53
Female,PHD,CSE,8.54
Male,Btech,CSE,6.38
Female,Btech,CSE,5.73
Male,Btech,ECE,6.19
Male,Btech,CND,7.42
Female,Btech,ECE,8.55
Male,Btech,ECE,5.16
Male,Btech,ECE,5.65
Female,Btech,ECE,6.89
Male,Btech,ECE,8.61
Male,MS,ECE,8.42
Female,MS,CSE,8.7
Female,Btech,CSE,8.13
Male,Btech,CSE,6.68
Male,Btech,ECE,6.85
Female,Btech,CND,5.55
Male,Btech,ECE,7.32
Female,Btech,CSE,7.19
Male,PHD,ECE,8.99
Male,Btech,CHD,8.18
Male,Btech,CHD,7.41
Male,Btech,CSE,7.42
Male,MS,CHD,7.37
Male,MS,CHD,8.88
Male,Btech,CSE,7.64
Male,Btech,CSE,6.6
Female,Btech,CHD,6.7
Male,Btech,CSE,5.92
Male,Btech,CND,6.85
Other,Btech,ECE,8.87
Male,Btech,CSE,8.31
Male,Btech,ECE,4.51
Male,Btech,CND,7.13
Female,Btech,CSE,8.12
Male,MS,CHD,8.56
Female,Btech,CND,7.67
Male,MS,CND,7.78
Male,MS,ECE,7.57
Male,Btech,CSE,6.96
Male,Btech,ECE,7.76
Male,Btech,ECE,7.11
Male,Btech,ECE,7.71
Female,Btech,CSE,6.76
Female,MS,CND,8.43
Female,Btech,ECE,5.44
Male,Btech,ECE,10.0
Male,Btech,CSE,5.65
Male,Btech,CSE,8.85
Male,MS,ECE,8.91
Female,Btech,ECE,8.18
Male,Btech,ECE,6.33
Male,Btech,CND,4.44
Female,MS,CND,9.81
Male,Btech,CND,8.06
Female,Btech,CSE,6.24
Female,Btech,CSE,8.32
Female,Btech,CSE,7.44
Male,Btech,ECE,7.06
Female,Btech,CSE,6.84
Male,MS,ECE,7.83
Male,MS,CSE,7.32
Female,Btech,ECE,5.08
Female,Btech,CND,8.12
Male,Btech,CHD,7.8
Male,PHD,CND,8.43
Male,Btech,CSE,7.4
Male,MS,ECE,8.93
Male,Btech,CSE,5.5
Male,MS,ECE,7.31
Female,Btech,CSE,7.91
Male,Btech,ECE,7.7
Male,Btech,CND,7.24
Male,Btech,CSE,8.34
Male,MS,CSE,7.49
Male,Btech,ECE,7.4
Male,Btech,CSE,6.8
Male,PHD,CHD,8.34
Female,Btech,CND,5.75
Male,Btech,CHD,8.39
Male,Btech,CSE,7.78
Male,Btech,CSE,6.91
Female,Btech,CSE,5.21
Female,MS,ECE,9.01
Female,Btech,ECE,6.51
Female,Btech,CHD,5.83
Female,Btech,CSE,5.53
Female,Btech,ECE,7.98
Female,Btech,ECE,6.34
Male,MS,CHD,6.85
Male,Btech,ECE,8.2
Other,Btech,CSE,6.47
Male,Btech,ECE,5.18
Female,MS,CND,7.3
Male,Btech,ECE,7.05
Male,Btech,ECE,7.57
Female,Btech,ECE,5.75
Female,PHD,CND,8.36
Female,MS,CND,8.83
Male,Btech,ECE,6.95
Male,Btech,CHD,6.47
Male,Btech,CSE,6.43
Female,Btech,CSE,5.37
Male,Btech,CSE,6.97
Female,Btech,CHD,6.53
Female,Btech,CSE,7.17
Female,Btech,ECE,7.81
Female,Btech,ECE,6.26
Male,PHD,CND,8.62
Male,Btech,ECE,8.39
Female,PHD,ECE,8.13
Female,Btech,CSE,7.35
Female,Btech,ECE,6.68
Male,Btech,ECE,6.93
Female,MS,ECE,7.38
Female,Btech,ECE,6.95
Female,Btech,ECE,6.36
Female,Btech,ECE,8.53
Female,MS,CND,7.47
Female,MS,CHD,7.47
Male,Btech,ECE,5.26
Female,Btech,CSE,8.23
Male,Btech,ECE,9.09
Female,PHD,ECE,8.73
Male,Btech,CND,6.47
Female,Btech,ECE,6.68
Male,MS,ECE,8.28
Female,Btech,CSE,5.74
Male,Btech,ECE,7.31
Female,MS,ECE,7.87
Male,Btech,ECE,8.07
Male,Btech,CSE,7.51
Male,Btech,ECE,8.61
Female,Btech,ECE,8.01
Male,Btech,CHD,7.42
Female,MS,CHD,7.82
Male,Btech,ECE,6.06
Male,Btech,CHD,5.5
Female,MS,CSE,8.17
Female,Btech,CSE,7.35
Female,PHD,CSE,7.91
Male,Btech,ECE,7.13
Female,Btech,ECE,8.2
Male,Btech,ECE,7.0
Male,Btech,CSE,6.63
Male,MS,CND,8.74
Male,MS,CHD,6.9
Male,Btech,ECE,6.38
Male,MS,ECE,7.96
Female,Btech,ECE,8.31
Female,Btech,CSE,5.4
Male,Btech,ECE,6.04
Male,PHD,CND,7.8
Male,Btech,CSE,5.72
Male,Btech,ECE,8.01
Male,Btech,ECE,7.06
Male,Btech,ECE,7.01
Male,MS,CND,8.0
Male,Btech,CND,8.41
Male,Btech,ECE,7.17
Male,MS,CND,8.48
Male,Btech,CSE,7.55
Male,Btech,CND,5.6
Male,PHD,CHD,8.76
Female,Btech,CHD,6.35
Male,MS,CSE,8.52
Male,Btech,ECE,7.42
Male,Btech,CHD,7.98
Other,MS,CHD,7.62
Female,Btech,ECE,6.44
Male,MS,CND,7.01
Male,Btech,CHD,7.74
Female,Btech,ECE,7.47
Male,Btech,CND,9.04
Male,Btech,CSE,7.6
Female,Btech,ECE,7.9
Female,Btech,CND,7.35
Male,Btech,CSE,6.87
Male,MS,ECE,7.74
Male,Btech,CSE,6.91
Female,Btech,ECE,7.99
Male,PHD,ECE,7.75
Male,Btech,CSE,7.75
Female,Btech,CND,7.17
Male,Btech,CSE,7.72
Female,PHD,CND,8.25
Female,Btech,CSE,5.22
Male,Btech,CSE,4.85
Male,Btech,CHD,6.13
Male,Btech,CND,7.62
Male,Btech,ECE,7.91
Male,Btech,ECE,7.55
Other,Btech,CSE,6.13
Male,PHD,ECE,8.44
Male,Btech,ECE,7.27
Male,Btech,CSE,7.63
Female,Btech,ECE,6.09
Male,Btech,CSE,7.56
Male,Btech,CSE,6.37
Male,Btech,ECE,7.55
Male,Btech,CSE,9.82
Female,Btech,ECE,6.15
Female,PHD,ECE,8.4
Male,Btech,ECE,6.84
Male,MS,CND,8.62
Other,Btech,CSE,6.09
Male,MS,CSE,6.98
Male,Btech,ECE,8.69
Male,Btech,CSE,8.01
Male,Btech,ECE,7.39
Male,Btech,ECE,6.46
Male,Btech,CHD,7.28
Female,PHD,CSE,8.23
Female,MS,CSE,8.28
Male,Btech,CSE,6.32
Male,MS,CHD,6.44
Male,Btech,ECE,6.96
Female,Btech,CSE,5.18
Female,PHD,CHD,8.16
Male,MS,CSE,8.33
Male,Btech,CSE,7.63
Male,Btech,ECE,6.93
Male,Btech,CHD,7.32
Male,Btech,CSE,6.97
Female,Btech,ECE,6.68
Male,Btech,ECE,6.3
Female,Btech,CHD,5.55
Male,MS,ECE,8.68
Male,Btech,CSE,5.27
Male,MS,CSE,7.13
Male,PHD,ECE,8.39
Female,MS,CHD,8.37
Female,Btech,ECE,7.83
Female,PHD,CHD,8.42
Male,Btech,ECE,9.13
Male,Btech,CSE,6.76
Male,MS,CSE,7.86
Male,Btech,CSE,5.09
Male,Btech,ECE,5.68
Male,Btech,CHD,6.88
Male,Btech,CHD,7.05
Male,Btech,ECE,7.75
Female,MS,CSE,6.87
Female,Btech,CHD,8.12
Female,MS,ECE,8.49
Male,Btech,CSE,6.04
Male,Btech,CSE,6.42
Male,Btech,CSE,6.48
Female,MS,CHD,8.49
Female,Btech,CSE,7.35
Male,Btech,CHD,6.16
Male,Btech,ECE,7.72
Male,Btech,CHD,6.76
Male,MS,ECE,7.83
Female,Btech,CHD,7.8
Female,Btech,CND,4.55
Male,MS,CND,8.43
Female,Btech,ECE,6.08
Male,Btech,CND,5.83
Male,Btech,CSE,7.6
Female,Btech,CSE,5.67
Female,MS,CSE,7.96
Male,Btech,CSE,6.95
Female,Btech,CSE,8.0
Male,MS,CSE,8.0
Male,Btech,CHD,6.31
Other,Btech,CHD,7.55
Male,Btech,ECE,7.82
Male,Btech,CSE,8.14
Male,Btech,CHD,6.54
Male,MS,CHD,7.37
Male,MS,CSE,8.0
Male,Btech,CSE,7.64
Male,MS,CND,8.39
Male,MS,CSE,9.03
Male,Btech,CHD,8.82
Male,Btech,ECE,6.64
Male,Btech,ECE,6.81
Male,MS,ECE,7.87
Female,Btech,ECE,8.35
Male,MS,CSE,8.24
Male,Btech,CND,7.19
Male,Btech,ECE,7.15
Male,Btech,ECE,5.58
Male,MS,CSE,7.58
Female,Btech,CSE,6.53
Male,Btech,ECE,7.05
Male,Btech,ECE,6.23
Male,Btech,CSE,6.76
Female,Btech,ECE,5.32
Male,Btech,CSE,5.53
Male,Btech,ECE,7.2
Male,Btech,ECE,5.72
Male,Btech,CSE,5.95
Male,Btech,ECE,7.44
Male,Btech,CSE,7.24
Female,Btech,ECE,5.6
Female,Btech,CSE,8.24
Male,PHD,ECE,7.56
Male,Btech,ECE,4.92
Male,Btech,CND,7.16
Female,Btech,ECE,6.93
Male,Btech,CSE,5.43
Female,Btech,ECE,7.87
Female,Btech,CND,7.68
Male,Btech,ECE,7.39
Female,PHD,CND,7.76
Male,Btech,CND,6.12
Male,PHD,ECE,8.06
Male,MS,CND,8.89
Female,Btech,CSE,7.87
Male,Btech,CND,5.99
Female,Btech,CSE,9.38
Male,Btech,CHD,6.39
Male,Btech,CND,6.36
Female,MS,CSE,7.79
Male,Btech,CND,7.42
Female,Btech,CHD,8.25
Female,Btech,ECE,8.2
Female,Btech,ECE,6.5
Female,Btech,CSE,8.46
Male,Btech,ECE,7.75
Male,Btech,CND,6.83
Male,Btech,ECE,5.33
Male,MS,ECE,8.02
Male,Btech,CSE,7.15
Female,MS,CSE,6.89
Male,Btech,ECE,6.93
Male,PHD,CHD,8.16
Male,Btech,CHD,5.51
Female,Btech,CHD,8.79
Female,MS,ECE,8.53
Male,Btech,ECE,7.5
Female,Btech,ECE,5.79
Male,PHD,ECE,8.65
Male,Btech,CSE,7.9
Male,MS,CND,7.95
Male,Btech,CSE,5.67
Male,Btech,CSE,8.37
Male,MS,CND,8.99
Male,Btech,ECE,6.83
Male,MS,CSE,8.04
Other,Btech,CSE,5.97
Male,Btech,ECE,6.34
Male,Btech,ECE,7.29
Female,PHD,CHD,8.2
Female,MS,CSE,8.38
Female,Btech,ECE,6.78
Male,Btech,CND,7.17
Male,Btech,CHD,7.82
Male,Btech,CND,5.22
Male,MS,CND,7.41
Female,PHD,CND,8.05
Male,MS,CND,8.64
Male,Btech,ECE,5.74
Male,MS,ECE,9.21
Female,MS,ECE,8.08
Male,PHD,CHD,8.81
Male,Btech,CHD,6.43
Female,Btech,ECE,8.6
Male,PHD,CSE,8.54
Female,Btech,ECE,6.87
Male,MS,CSE,8.57
Male,Btech,ECE,5.58
Male,PHD,ECE,8.12
Male,Btech,CHD,8.06
Male,Btech,ECE,7.24
Male,Btech,ECE,6.97
Male,Btech,ECE,6.47
Male,Btech,CHD,6.63
Male,MS,CSE,7.9
Female,Btech,ECE,7.05
Female,Btech,CSE,6.75
Male,Btech,ECE,6.72
Other,Btech,CND,6.89
Male,PHD,ECE,8.67
Female,Btech,ECE,7.43
Male,Btech,CSE,7.57
Male,MS,CHD,8.5
Female,MS,CHD,7.54
Male,MS,CSE,7.43
Male,Btech,CSE,6.81
Female,Btech,CSE,6.6
Male,Btech,CSE,6.61
Male,MS,CND,7.71
Female,MS,CND,7.28
Male,Btech,CSE,7.91
Male,Btech,CSE,9.22
Male,MS,CSE,8.03
Male,MS,CHD,7.86
Female,Btech,CSE,7.37
Male,Btech,ECE,9.26
Female,MS,CHD,8.08
Female,PHD,CHD,7.85
Female,PHD,CHD,9.09
Male,Btech,CSE,8.2
Male,Btech,ECE,7.39
Female,Btech,CSE,6.8
Male,Btech,ECE,6.34
Female,Btech,CHD,6.68
Male,Btech,CSE,5.82
Male,Btech,CSE,4.53
Male,Btech,ECE,5.25
Female,Btech,ECE,8.18
Male,Btech,CSE,6.76
Male,MS,CND,6.44
Female,Btech,CND,8.96
Male,Btech,CSE,7.69
Male,Btech,ECE,6.99
Male,MS,ECE,7.44
Female,Btech,ECE,6.36
Male,Btech,ECE,8.49
Female,Btech,CSE,8.86
Male,MS,CND,7.75
Female,PHD,CSE,9.07
Male,MS,CHD,7.84
Male,Btech,ECE,6.45
Male,Btech,CHD,7.54
Female,Btech,CSE,7.33
Male,Btech,CHD,7.06
Female,Btech,CHD,6.97
Female,Btech,CND,6.28
Male,Btech,CSE,5.06
Female,Btech,ECE,6.19
Male,Btech,ECE,8.95
Female,MS,CSE,6.86
Male,Btech,CSE,7.76
Male,Btech,CSE,7.17
Female,MS,ECE,8.31
Male,Btech,CND,8.61
Female,Btech,ECE,6.25
Male,PHD,ECE,8.55
Female,Btech,ECE,6.27
Female,Btech,CSE,6.68
Male,PHD,CHD,8.24
Male,Btech,CHD,7.18
Male,Btech,CHD,7.47
Male,PHD,CSE,7.83
Male,Btech,ECE,6.72
Female,Btech,ECE,4.94
Female,PHD,ECE,7.99
Male,Btech,CSE,7.19
Female,Btech,CSE,9.43
Female,Btech,CSE,6.68
Other,Btech,CSE,7.12
Male,MS,CND,8.7
Male,MS,ECE,7.31
Male,Btech,CHD,7.44
Male,Btech,ECE,6.71
Male,Btech,CSE,7.39
Male,Btech,ECE,7.2
Male,Btech,ECE,7.06
Female,Btech,CSE,6.99
Female,MS,ECE,8.74
Male,Btech,CSE,6.21
Male,MS,CND,7.5
Male,MS,CND,8.39
Male,MS,ECE,9.61
Female,Btech,CSE,5.04
Male,Btech,CSE,6.05
Male,Btech,CSE,9.15
Male,Btech,CSE,8.55
Male,Btech,CND,6.04
Male,Btech,CSE,6.01
Other,Btech,CSE,8.71
Male,MS,CHD,8.0
Male,PHD,CSE,7.45
Female,Btech,CND,4.93
Female,Btech,ECE,7.59
Male,PHD,ECE,8.06
Male,MS,CSE,8.73
Male,Btech,CND,6.26
Male,Btech,ECE,8.1
Female,Btech,ECE,6.5
Male,Btech,CHD,6.66
Male,Btech,ECE,6.03
Female,MS,CSE,8.1
Female,Btech,ECE,6.73
Male,Btech,ECE,7.06
Male,Btech,ECE,7.86
Male,MS,ECE,8.04
Female,PHD,CHD,8.85
Male,Btech,ECE,6.99
Male,Btech,CSE,6.03
Male,Btech,CSE,6.55
Male,Btech,ECE,7.53
Male,Btech,ECE,6.03
Male,Btech,CSE,7.21
Female,MS,CHD,8.26
Female,Btech,CHD,7.84
Female,Btech,ECE,6.93
Female,Btech,ECE,7.16
Female,Btech,CSE,8.04
Male,Btech,CSE,6.26
Female,Btech,CSE,6.47
Male,Btech,CSE,8.16
Female,Btech,CSE,8.45
Female,Btech,CSE,5.09
Male,Btech,CSE,5.87
Male,Btech,CSE,6.93
Female,Btech,CND,7.05
Male,PHD,CND,8.54
Male,Btech,CND,6.78
Male,PHD,ECE,8.32
Male,MS,ECE,7.17
Male,Btech,CSE,7.69
Female,Btech,CSE,6.02
Male,PHD,CSE,9.01
Male,Btech,CSE,8.01
Female,Btech,ECE,6.17
Male,Btech,ECE,6.19
Female,MS,CSE,7.91
Male,Btech,ECE,7.25
Female,MS,ECE,7.64
Female,Btech,CSE,5.98
Female,Btech,ECE,6.13
Male,MS,ECE,8.45
Male,Btech,ECE,5.93
Female,Btech,ECE,5.43
Male,PHD,CSE,7.72
Female,MS,CSE,10.0
Male,MS,CSE,7.63
Female,MS,ECE,6.88
Male,Btech,CND,7.29
Male,MS,ECE,7.84
Male,Btech,CSE,7.05
Male,Btech,CSE,6.39
